AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Rating
348240,Gun Wings,"Dec 8, 2015",1.59,360,48,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Casual,Indie","Bullet Hell,Action,Shoot 'Em Up,Anime,Female Protagonist,Indie,Shooter,Nudity,2D,Casual,Arcade,Difficult,Colorful,Fantasy,Great Soundtrack,Cute,Fast-Paced,Sexual Content,Faith,Singleplayer",0.8823529411764706
1850510,TRIANGLE STRATEGY,"Oct 13, 2022",59.99,1975,479,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","RPG,Simulation,Strategy","Turn-Based Tactics,Strategy RPG,RPG,JRPG,Strategy,Politics,War,Pixel Graphics,Simulation,2D,Grid-Based Movement,Tabletop,Tactical,Story Rich,Singleplayer,Tactical RPG,Choices Matter,Turn-Based Combat,Cats,Visual Novel",0.8048084759576202
1483780,Tested on Humans: Escape Room,"Feb 24, 2021",9.99,386,57,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Indie","Escape Room,Puzzle,Point & Click,Hidden Object,Investigation,Adventure,Walking Simulator,Dark,Psychological,Narration,Story Rich,Conspiracy,Atmospheric,Solitaire,Realistic,Exploration,Casual,Thriller,Interactive Fiction,Science",0.871331828442438
1801640,精神病大王花 Flowering Abyss,"Feb 13, 2022",7.99,182,32,"Single-player,Steam Cloud,Family Sharing","Adventure,Indie,RPG","Adventure,Horror,Interactive Fiction,Mystery,Dating Sim,Thriller,Drama,Word Game,Visual Novel,2D,Cartoon,Cute,Text-Based,Comic Book,Anime,Psychological,Psychological Horror,Emotional,Romance,Crime",0.8504672897196262
366970,Mighty Switch Force! Hyper Drive Edition,"Jun 25, 2015",9.99,229,19,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Indie","Action,Great Soundtrack,Female Protagonist,Indie,Puzzle-Platformer,Platformer,Singleplayer,2D,Anime",0.9233870967741935
965600,Raiders of the North Sea,"Jul 30, 2019",14.99,198,26,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Family Sharing","Indie,Strategy","Strategy,Indie,Board Game,Medieval,Tabletop,Turn-Based,Card Game,Casual,Simulation,Turn-Based Strategy,Turn-Based Tactics,Wargame,2D,Hand-drawn,Fantasy,Historical,War,PvP,Tutorial,Multiplayer",0.8839285714285714
314380,Lantern Forge,"Jul 18, 2014",9.99,152,130,"Single-player,Steam Trading Cards,Family Sharing","Adventure,Indie,RPG","RPG,Adventure,Sandbox,Survival,Crafting,Indie,Singleplayer,Isometric",0.5390070921985816
48110,Silent Hunter 5®: Battle of the Atlantic,Mar 2010,9.99,1072,1344,"Single-player,Multi-player,Co-op",Simulation,"Simulation,Naval Combat,Submarine,World War II,Naval,Military,Historical,Strategy,Underwater,Multiplayer,Singleplayer",0.44370860927152317
340800,Unhack,"Jan 9, 2015",3.99,262,44,"Single-player,Steam Trading Cards,Family Sharing",Indie,"Indie,Anime,Puzzle,Visual Novel,Short,Singleplayer",0.8562091503267973
1027250,The Alliance Alive HD Remastered,"Jan 16, 2020",39.99,200,41,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",RPG,"RPG,JRPG,Anime,Turn-Based Combat,Fantasy,Adventure,Singleplayer",0.8298755186721992
